case_number,source_group_number,scenario,phase,arm,status,decision_correct,evidence_correct,exact_correct,direct,e2e_s,jev_s,codex_s,confidence,codex_input_tokens,codex_cached_tokens,codex_output_tokens,jev_input_tokens,jev_output_tokens
48,18,rn,repeat,B,ok,1,1,1,0,0.9971575000090525,0.9958604170242324,0,0.97,0,0,0,871,142
48,18,rn,repeat,C,ok,1,1,1,1,1.3898729999782518,1.3893502909922972,0,0.97,0,0,0,871,142
48,18,rn,repeat,A,ok,1,1,1,0,9.330579500005115,0,9.329258334008045,,25302,21760,21,0,0
48,18,rn,repeat,B,error,0,0,0,0,2.288980207988061,2.287821540958248,0,0.0,0,0,0,,
48,18,rn,repeat,C,ok,1,1,1,0,8.946704292029608,0.7966536250314675,8.146379958023317,0.0,25332,21760,21,,
49,19,mr,repeat,A,ok,1,1,1,0,9.11293125001248,0,9.111622709024232,,25143,0,22,0,0
49,19,mr,repeat,B,ok,1,1,1,0,1.2690574590233155,1.2682572499616072,0,0.98,0,0,0,630,96
49,19,mr,repeat,C,ok,1,1,1,1,0.9779435839736834,0.9771629999740981,0,0.98,0,0,0,630,96
49,19,mr,repeat,A,ok,1,1,1,0,19.558557666954584,0,19.55709333298728,,25143,21760,22,0,0
49,19,mr,repeat,B,ok,1,1,1,0,1.0116376660298556,1.010789250023663,0,0.98,0,0,0,630,96
49,19,mr,repeat,C,ok,1,1,1,1,0.9945693329791538,0.9941362909739837,0,0.98,0,0,0,630,96
50,20,mr,repeat,A,ok,1,1,1,0,10.42292483302299,0,10.421921709028538,,25166,0,22,0,0
50,20,mr,repeat,B,error,0,0,0,0,0.8530887920060195,0.8518274580128491,0,0.0,0,0,0,,
50,20,mr,repeat,C,ok,1,1,1,0,46.81898649997311,34.38524866697844,12.432327207992785,0.0,25196,21760,22,,
50,20,mr,repeat,A,ok,1,1,1,0,7.9618976669735275,0,7.959774459013715,,25166,21760,22,0,0
50,20,mr,repeat,B,error,0,0,0,0,0.7949282909976318,0.7942177499644458,0,0.0,0,0,0,,
50,20,mr,repeat,C,ok,1,1,1,0,11.646592584031168,0.8137798329698853,10.830387750000227,0.0,25196,21760,22,,
51,21,mr,repeat,A,ok,1,1,1,0,9.184336958045606,0,9.181325749959797,,25146,21760,23,0,0
51,21,mr,repeat,B,ok,1,1,1,0,1.181393750011921,1.181019917014055,0,0.97,0,0,0,633,97
51,21,mr,repeat,C,ok,1,1,1,1,1.0473820000188425,1.0464665410108864,0,0.97,0,0,0,633,97
51,21,mr,repeat,A,ok,1,1,1,0,8.30345537501853,0,8.301802749978378,,25146,0,23,0,0
51,21,mr,repeat,B,ok,1,1,1,0,0.954209792020265,0.953484124969691,0,0.97,0,0,0,633,97
51,21,mr,repeat,C,ok,1,1,1,0,42.22686837502988,31.622076915984508,10.600213458004873,0.0,25176,21760,23,,
52,22,mr,repeat,A,ok,1,1,1,0,8.128605208999943,0,8.126320667041,,25164,0,23,0,0
52,22,mr,repeat,B,ok,1,1,1,0,0.8633916249964386,0.8622849999810569,0,0.9,0,0,0,651,97
52,22,mr,repeat,C,ok,1,1,1,1,1.14432050002506,1.1437195829930715,0,0.83,0,0,0,651,97
52,22,mr,repeat,A,ok,1,1,1,0,17.967940000002272,0,17.966719624993857,,25164,21760,23,0,0
52,22,mr,repeat,B,ok,1,1,1,0,0.8515957089839503,0.8510717090102844,0,0.88,0,0,0,651,97
52,22,mr,repeat,C,ok,1,1,1,1,0.870451333001256,0.8697590410010889,0,0.9,0,0,0,651,97
53,23,snake,repeat,A,ok,1,1,1,0,13.069846124970354,0,13.068180333008058,,25036,0,21,0,0
53,23,snake,repeat,B,ok,0,0,0,0,0.8427090420154855,0.8421654589474201,0,0.76,0,0,0,574,83
53,23,snake,repeat,C,ok,0,0,0,1,0.9011250409530476,0.9002352089737542,0,0.72,0,0,0,574,83
53,23,snake,repeat,A,ok,1,1,1,0,9.783265915990341,0,9.781392584030982,,25036,21760,21,0,0
53,23,snake,repeat,B,ok,0,0,0,0,1.1142880409606732,1.1129581250133924,0,0.83,0,0,0,574,83
53,23,snake,repeat,C,ok,0,0,0,1,0.9040314590092748,0.9029747500317171,0,0.81,0,0,0,574,83
54,23,snake,repeat,A,ok,1,1,1,0,8.735972541035153,0,8.734226542001124,,25035,21760,21,0,0
54,23,snake,repeat,B,ok,1,1,1,0,1.065951541007962,1.0648949579917826,0,0.79,0,0,0,573,88
54,23,snake,repeat,C,ok,1,1,1,1,1.028579042002093,1.0270317500107922,0,0.87,0,0,0,573,88
54,23,snake,repeat,A,ok,1,1,1,0,8.727663500001654,0,8.726290167018306,,25035,21760,21,0,0
54,23,snake,repeat,B,error,0,0,0,0,0.7815262080403045,0.7811555420048535,0,0.0,0,0,0,,
54,23,snake,repeat,C,ok,1,1,1,0,9.531788207998034,0.776770582946483,8.75318125000922,0.0,25065,21760,21,,
55,24,snake,repeat,A,ok,1,1,1,0,14.794483207981102,0,14.79320104100043,,26802,0,91,0,0
55,24,snake,repeat,B,error,0,0,0,0,0.7741148330387659,0.7735158340074122,0,0.0,0,0,0,,
55,24,snake,repeat,C,ok,1,1,1,0,10.864419625024311,0.8032954999944195,10.058210416988004,0.0,25088,21760,72,,
55,24,snake,repeat,A,ok,1,1,1,0,12.514403499953914,0,12.512434000032954,,25058,21760,86,0,0
55,24,snake,repeat,B,ok,0,1,0,0,0.8908559590345249,0.8896965829771943,0,0.32,0,0,0,599,88
55,24,snake,repeat,C,ok,1,1,1,0,12.485155957983807,0.8518823749618605,11.629786790988874,0.28,25101,21760,91,599,88
56,25,snake,repeat,A,ok,1,1,1,0,11.50853587500751,0,11.506521125033032,,25038,21760,21,0,0
56,25,snake,repeat,B,error,0,0,0,0,1.4215543339960277,1.42031150002731,0,0.0,0,0,0,,
56,25,snake,repeat,C,ok,1,1,1,0,13.073048332997132,1.1280843749991618,11.940818583010696,0.0,25068,21760,21,,
56,25,snake,repeat,A,ok,1,1,1,0,9.129568667034619,0,9.127495666965842,,25038,21760,21,0,0
56,25,snake,repeat,B,ok,0,1,0,0,0.9582170840003528,0.9578463329817168,0,0.25,0,0,0,573,88
56,25,snake,repeat,C,ok,1,1,1,0,45.45022783300374,34.52096574997995,10.927124999987427,0.0,25068,21760,21,,
57,26,crash,test,A,ok,1,1,1,0,7.723755499988329,0,7.721849750028923,,25474,0,23,0,0
57,26,crash,test,B,ok,1,1,1,0,1.0488730000215583,1.0481871660449542,0,1.0,0,0,0,1000,157
57,26,crash,test,C,ok,1,1,1,1,1.074011457967572,1.0735774579807185,0,0.99,0,0,0,1000,157
58,26,crash,test,A,ok,1,1,1,0,10.853935292048845,0,10.852241082990076,,25474,0,23,0,0
58,26,crash,test,B,ok,1,1,1,0,0.9424703749828041,0.941899208992254,0,0.99,0,0,0,1000,157
